Observation,Dead,Conc,Conc2,random,Conc3
111,1,3,1,0.618096373,3.618096373
112,1,3,1,0.145930601,3.145930601
113,1,3,1,0.100249532,3.100249532
114,0,3,1,0.253251421,3.253251421
115,0,3,1,0.284579926,3.284579926
116,0,3,1,0.059715219,3.059715219
117,0,3,1,0.044696092,3.044696092
118,0,3,1,0.985064509,3.985064509
119,0,3,1,0.878916818,3.878916818
120,0,3,1,0.275389176,3.275389176
121,1,4,1,0.901326492,4.901326492
122,1,4,1,0.374977273,4.374977273
123,1,4,1,0.381083231,4.381083231
124,1,4,1,0.273560817,4.273560817
125,1,4,1,0.470238063,4.470238063
126,1,4,1,0.139495703,4.139495703
127,1,4,1,0.963666807,4.963666807
128,1,4,1,0.440499782,4.440499782
129,1,4,1,0.03846595,4.03846595
130,1,4,1,0.883866567,4.883866567
131,1,4,1,0.722712362,4.722712362
132,1,4,1,0.884937362,4.884937362
133,1,4,1,0.625705159,4.625705159
134,1,4,1,0.335200356,4.335200356
135,1,4,1,0.655745917,4.655745917
136,1,4,1,0.732326424,4.732326424
137,1,4,1,0.192886274,4.192886274
138,1,4,1,0.13177094,4.13177094
139,1,4,1,0.342164811,4.342164811
140,1,4,1,0.685077707,4.685077707
141,1,4,1,0.623839459,4.623839459
142,1,4,1,0.483717755,4.483717755
143,1,4,1,0.883668865,4.883668865
144,1,4,1,0.752402406,4.752402406
145,1,4,1,0.88100155,4.88100155
146,1,4,1,0.245664959,4.245664959
147,1,4,1,0.56507755,4.56507755
148,0,4,1,0.932802948,4.932802948
149,0,4,1,0.537043053,4.537043053
150,0,4,1,0.471998361,4.471998361
