GENDER,MARSTAT,PC,MOVE,HEALTH,NEWSPAP,CLUB,POLITICS,JOBLEVEL,EDUCAT,OWNHOUSE,URBAN,AGE3,AGE13,REGION,PHONE,HOUSEVAL,PNONNAT1,PNONNAT2,SOCALL,DISABALL,UNEMPALL,ALLOWAN,HASJOB,NONNATIV,EMPLOYED,RELIGION,MARRIED,CHILDREN,HHSIZE,HHTYPE,KEYNUM,ETHNIC,RESP1,RESULT,RESPONSE,PROB,POPWGT
2,2,1,1,1,1,1,3,20,35,1,4,1,8,24,1,7,1,1,0,0,0,0,1,0,2,3,1,1,4,3,18,0,1,1,1,0.74724,362.56
2,2,1,1,2,1,2,3,4,30,1,3,2,10,23,0,8,1,1,0,0,0,0,1,0,1,1,1,0,2,2,20,0,1,1,1,0.55942,371.05
1,2,,,,,,,,,,3,2,11,22,1,7,3,3,0,0,0,0,1,0,3,,1,1,5,3,21,0,0,0,0,0.73409,344.30
2,2,,,,,,,,,,1,3,17,23,1,6,5,2,0,0,0,0,0,0,3,,1,0,2,2,25,0,0,3,0,0.58386,349.52
1,2,2,1,5,2,2,4,2,10,2,2,2,12,24,1,2,4,3,0,1,0,1,1,0,1,2,1,1,3,3,26,0,1,1,1,0.63001,400.26
1,2,2,1,1,1,1,2,2,35,1,4,2,9,21,1,4,1,1,0,0,0,0,0,0,1,3,1,1,5,3,28,0,0,1,1,0.70376,394.70
1,2,2,1,3,2,2,2,2,35,1,4,2,11,21,1,5,1,1,0,1,0,1,1,0,1,1,1,1,4,3,30,0,0,1,1,0.69954,391.68
1,1,,,,,,,,,,2,1,7,24,1,5,2,1,0,0,0,0,1,0,3,,0,0,2,2,31,0,0,0,0,0.59492,380.28
2,2,,,,,,,,,,4,2,11,22,1,6,1,1,0,0,0,0,0,0,3,,1,1,3,3,32,0,0,3,0,0.66151,362.39
2,2,2,1,3,2,1,4,20,10,2,3,3,13,24,1,2,2,1,0,0,0,0,0,0,3,2,1,0,2,2,34,0,1,1,1,0.65074,410.33
1,2,1,1,3,2,2,1,2,35,1,3,2,11,23,0,6,2,1,0,0,0,0,1,0,1,3,1,1,3,3,35,0,1,1,1,0.49549,374.67
1,2,1,4,2,1,2,3,8,50,2,2,2,9,24,1,5,2,1,0,0,0,0,1,0,1,1,1,1,4,3,38,0,1,1,1,0.69740,379.71
1,1,,,,,,,,,,2,1,8,24,1,6,6,3,0,0,0,0,0,0,3,,0,0,1,1,39,0,0,0,0,0.56831,407.27
2,3,2,2,2,1,2,2,20,30,2,2,3,17,23,1,6,5,4,0,0,0,0,0,0,3,3,0,0,1,1,40,0,1,1,1,0.48908,375.72
2,4,1,2,4,2,2,1,20,35,2,4,2,11,23,1,6,1,1,0,1,0,1,0,0,3,2,0,1,2,4,41,0,1,1,1,0.52682,373.63
1,2,1,1,1,1,1,2,6,60,1,4,2,10,23,1,8,1,1,0,0,0,0,1,0,1,1,1,1,4,3,42,0,1,1,1,0.67617,393.91
1,1,,,,,,,,,,5,1,7,24,0,6,1,1,0,0,0,0,1,0,3,,0,1,3,3,43,0,0,3,0,0.51493,360.38
2,1,1,1,1,2,2,2,6,50,1,3,1,8,23,1,6,1,1,0,0,0,0,0,0,1,1,0,0,2,2,44,0,1,1,1,0.55774,379.93
2,1,,,,,,,,,,2,1,6,23,0,5,3,1,0,0,0,0,0,0,3,,0,0,1,1,45,0,0,0,0,0.39322,401.16
2,2,1,1,2,1,1,2,4,45,1,5,2,11,24,1,5,2,1,0,0,0,0,1,1,1,3,1,0,2,2,47,4,1,1,1,0.72189,352.30
2,2,,,,,,,,,,1,1,8,25,0,8,2,1,0,0,0,0,0,1,3,,1,1,3,4,48,3,0,2,0,0.31926,374.39
1,1,,,,,,,,,,4,1,7,22,0,6,4,1,0,0,0,0,0,1,3,,0,1,3,3,49,4,0,3,0,0.45194,364.41
1,2,2,2,3,2,1,3,20,45,2,1,3,15,25,1,3,2,2,0,0,0,0,0,0,3,2,1,0,2,2,50,0,1,1,1,0.49119,373.71
2,2,,,,,,,,,,1,3,14,25,0,6,5,4,0,1,0,1,0,1,3,,1,0,2,2,51,2,0,3,0,0.33716,357.22
1,1,,,,,,,,,,2,1,5,24,0,4,6,6,0,0,0,0,1,1,3,,0,1,5,3,52,1,0,3,0,0.47131,402.95
1,2,1,1,2,1,2,2,20,45,1,5,3,14,22,1,7,1,1,0,0,0,0,0,0,3,3,1,1,3,3,53,0,1,1,1,0.67566,407.09
2,1,,,,,,,,,,4,1,7,21,1,3,1,1,0,0,0,0,1,0,3,,0,1,3,3,54,0,0,2,0,0.62812,355.56
1,2,,,,,,,,,,5,3,14,21,1,3,2,1,0,1,0,1,0,0,3,,1,0,2,2,55,0,0,3,0,0.67400,379.33
2,2,2,1,2,1,1,4,20,10,1,3,3,14,22,1,7,1,1,0,0,0,0,0,0,3,2,1,0,2,2,57,0,1,1,1,0.68562,388.00
2,3,,,,,,,,,,2,2,12,23,0,9,2,1,0,0,0,0,1,0,3,,0,1,3,4,58,0,0,3,0,0.42270,380.53
1,4,2,3,2,2,2,4,4,45,1,3,1,7,23,1,6,4,3,0,0,0,0,1,0,1,5,0,0,2,2,59,0,0,1,1,0.55784,388.13
1,2,2,1,2,2,1,3,2,45,1,3,1,8,24,1,6,1,1,0,0,0,0,1,0,1,2,1,1,4,3,60,0,1,1,1,0.72576,382.54
1,2,,,,,,,,,,4,3,13,21,0,4,1,1,0,0,0,0,1,0,3,,1,0,2,2,61,0,0,0,0,0.54614,373.64
1,1,2,1,3,2,2,2,2,10,2,4,1,8,23,1,6,6,5,1,0,0,1,0,1,1,4,0,1,5,3,62,1,1,1,1,0.42270,396.53
2,2,,,,,,,,,,5,2,9,23,0,6,1,1,0,0,0,0,1,0,3,,1,1,5,3,63,0,0,3,0,0.63030,381.32
1,2,,,,,,,,,,4,2,12,24,1,8,1,1,0,1,0,1,1,1,3,,1,0,2,2,64,4,0,3,0,0.66198,381.19
1,2,,,,,,,,,,4,2,11,21,1,6,1,1,0,1,1,1,0,0,3,,1,1,3,3,65,0,0,3,0,0.62659,386.16
1,1,2,1,1,2,2,1,4,45,1,2,1,8,24,1,7,2,1,0,0,0,0,1,0,1,1,0,0,2,2,66,0,0,1,1,0.61118,356.14
1,2,2,2,5,1,2,3,20,10,2,4,3,16,24,1,6,1,1,0,0,0,0,0,0,3,2,1,0,2,2,67,0,1,1,1,0.66843,332.15
1,1,1,1,1,2,2,2,4,45,1,4,1,7,24,1,5,2,1,0,0,0,0,1,0,1,1,0,0,1,1,68,0,1,1,1,0.61881,395.89
2,2,,,,,,,,,,4,1,8,23,1,5,1,1,0,0,0,0,1,0,3,,1,1,3,3,69,0,0,0,0,0.66360,401.50
1,2,,,,,,,,,,1,2,9,25,0,3,5,3,1,1,0,1,0,1,3,,1,0,1,1,70,1,0,3,0,0.21615,388.19
2,1,1,2,2,2,1,1,6,60,2,1,1,7,25,1,6,3,1,0,0,0,0,1,0,1,2,0,0,2,2,71,0,1,1,1,0.45697,360.60
2,3,,,,,,,,,,5,3,17,24,1,4,3,1,0,0,0,0,0,0,3,,0,1,2,4,72,0,0,3,0,0.59442,370.99
2,2,1,4,3,2,2,3,6,45,1,4,2,9,23,1,8,2,1,0,0,0,0,1,0,1,3,1,1,4,3,73,0,1,1,1,0.68863,426.93
2,2,1,4,1,1,2,2,20,45,2,2,1,7,23,1,4,3,1,0,0,0,0,0,0,3,3,1,1,4,3,74,0,1,1,1,0.61967,366.54
2,2,2,1,2,1,1,3,20,10,1,3,3,14,23,1,7,1,1,0,0,0,0,0,0,3,2,1,1,5,3,75,0,1,1,1,0.68009,370.29
2,2,,,,,,,,,,4,2,11,23,0,8,1,1,0,0,0,0,0,0,3,,1,0,2,2,76,0,0,3,0,0.48985,401.20
2,4,,,,,,,,,,2,2,10,24,1,2,2,1,0,0,0,0,1,0,3,,0,0,1,1,77,0,0,2,0,0.63657,399.39
1,2,,,,,,,,,,2,2,9,23,1,3,4,3,0,0,0,0,1,0,3,,1,1,4,3,78,0,0,3,0,0.64213,357.71
2,2,,,,,,,,,,3,2,10,24,1,8,2,2,0,0,0,0,0,0,3,,1,1,3,3,79,0,0,3,0,0.68092,415.22
1,2,2,1,2,1,2,4,20,10,2,1,3,17,25,1,3,1,1,0,0,0,0,0,0,3,1,1,0,2,2,80,0,1,1,1,0.43838,389.61
1,2,2,1,1,1,2,1,20,35,2,1,3,17,25,1,8,2,1,0,0,0,0,0,0,3,2,1,0,2,2,81,0,1,1,1,0.43838,366.71
2,2,2,1,1,2,2,3,20,35,2,4,2,9,24,1,7,3,1,0,0,0,0,0,0,3,2,1,1,4,3,83,0,1,1,1,0.70491,377.79
2,1,1,2,2,1,2,2,2,40,1,4,1,5,23,0,9,1,1,0,0,0,0,1,0,1,1,0,1,3,3,84,0,0,1,1,0.56185,402.76
1,1,,,,,,,,,,3,1,6,23,1,7,2,1,0,0,0,0,0,0,3,,0,1,4,3,86,0,0,2,0,0.53997,400.74
2,1,,,,,,,,,,2,1,8,23,0,6,4,2,0,1,0,1,0,0,3,,0,0,1,1,87,0,0,2,0,0.41276,337.48
1,1,1,4,2,1,1,1,20,45,1,4,1,6,24,1,5,1,1,0,0,0,0,1,0,3,2,0,1,4,3,88,0,1,1,1,0.64328,414.20
1,2,2,1,3,2,2,3,20,45,2,2,3,16,23,1,6,1,1,0,0,0,0,0,0,3,1,1,0,2,2,89,0,0,1,1,0.58577,371.13
1,2,,,,,,,,,,4,3,17,22,1,6,1,1,0,0,0,0,0,0,3,,1,0,2,2,91,0,0,3,0,0.63099,389.25
1,2,1,5,1,1,2,2,4,50,1,1,1,8,21,1,5,2,2,0,0,0,0,1,0,1,1,1,1,3,3,92,0,0,1,1,0.68162,378.38
2,2,1,1,1,2,2,1,4,60,1,2,2,9,23,0,6,2,1,0,0,0,0,1,1,1,1,1,1,4,3,93,1,1,1,1,0.38219,351.91
1,2,1,1,2,1,2,2,6,35,2,5,2,10,22,1,4,1,1,0,0,0,0,1,0,1,3,1,1,5,3,95,0,1,1,1,0.77321,397.41
1,2,,,,,,,,,,4,3,14,24,1,8,1,1,0,1,0,1,0,0,3,,1,0,2,2,97,0,0,3,0,0.65983,370.49
2,1,2,4,2,1,2,2,20,10,1,4,1,6,24,1,6,1,1,0,0,0,0,0,0,3,1,0,1,3,3,98,0,0,1,1,0.59073,361.93
1,1,,,,,,,,,,4,1,6,23,1,6,1,1,0,1,0,1,1,0,3,,0,1,3,3,99,0,0,3,0,0.54613,340.23
2,2,1,1,1,1,1,2,4,45,1,5,1,8,24,1,8,1,1,0,0,0,0,1,0,1,2,1,1,4,3,**,0,1,1,1,0.76443,395.26
1,2,,,,,,,,,,2,3,15,23,1,7,2,1,0,0,0,0,0,0,3,,1,0,2,2,**,0,0,3,0,0.59295,371.72
1,3,2,2,4,1,2,4,20,10,2,5,3,13,21,1,5,1,1,0,0,0,0,0,0,3,3,0,0,1,1,**,0,1,1,1,0.56827,363.40
1,2,1,2,1,2,2,3,4,45,1,4,1,8,21,1,5,1,1,0,0,0,0,1,0,1,3,1,1,5,3,**,0,1,1,1,0.74619,362.69
2,1,1,2,4,1,2,2,8,60,1,1,2,11,25,1,6,2,1,0,0,0,0,1,0,1,5,0,0,1,1,**,0,1,1,1,0.44688,339.10
2,2,,,,,,,,,,2,2,11,24,0,3,5,4,0,0,0,0,0,1,3,,1,1,5,3,**,1,0,4,0,0.41600,370.48
1,4,,,,,,,,,,2,3,13,24,0,2,2,2,0,1,0,1,0,0,3,,0,0,2,2,**,0,0,3,0,0.40823,340.76
2,2,1,1,1,1,1,3,6,50,1,5,2,11,23,1,6,1,1,0,0,0,0,1,0,1,1,1,1,3,3,**,0,1,1,1,0.66104,345.57
1,2,2,1,4,1,2,3,20,30,2,5,3,17,21,0,2,1,1,0,0,0,0,0,0,3,1,1,0,2,2,**,0,1,1,1,0.52498,387.48
2,1,1,1,3,1,1,3,20,35,1,5,1,5,24,1,7,2,1,0,0,1,1,0,0,3,2,0,1,5,3,**,0,1,1,1,0.76565,394.19
2,2,,,,,,,,,,2,2,11,23,0,5,1,1,0,1,0,1,0,0,3,,1,1,3,3,**,0,0,3,0,0.45392,368.73
2,1,2,1,3,2,2,3,4,45,1,4,1,8,24,1,7,1,1,0,0,0,0,1,0,1,2,0,0,2,2,**,0,1,1,1,0.65958,387.64
1,1,1,2,2,1,1,3,8,60,1,3,1,8,24,1,9,2,1,0,0,0,0,1,0,1,1,0,0,2,2,**,0,1,1,1,0.63429,413.68
2,2,1,1,1,1,1,2,20,50,1,4,3,14,24,1,12,1,1,0,0,0,0,0,0,3,2,1,0,2,2,**,0,1,1,1,0.68296,381.53
2,2,2,2,3,1,2,4,20,10,2,2,3,17,23,1,2,1,1,0,0,0,0,0,0,3,2,1,0,2,2,**,0,1,1,1,0.56675,394.79
1,1,,,,,,,,,,4,2,10,24,0,4,2,1,0,0,0,0,1,1,3,,0,0,1,1,**,4,0,2,0,0.51837,353.33
2,1,,,,,,,,,,1,1,6,21,1,5,4,1,0,0,0,0,1,1,3,,0,0,2,2,**,4,0,3,0,0.62534,359.27
2,1,,,,,,,,,,5,3,17,23,1,5,2,1,0,0,0,0,0,1,3,,0,1,4,3,**,2,0,4,0,0.51920,359.34
1,2,1,1,3,1,1,2,6,50,1,2,2,12,23,1,7,1,1,0,0,0,0,1,0,1,1,1,1,3,3,**,0,1,1,1,0.57002,375.48
2,2,,,,,,,,,,3,2,12,24,1,9,1,1,0,0,0,0,0,0,3,,1,0,2,2,**,0,0,3,0,0.64617,385.21
2,2,2,1,3,1,2,4,20,10,1,4,3,15,21,1,6,1,1,0,0,0,0,0,0,3,1,1,1,3,3,**,0,1,1,1,0.68272,354.71
2,1,2,2,2,2,2,4,2,10,2,3,1,6,23,1,4,5,3,0,0,0,0,1,1,1,1,0,0,1,1,**,2,1,1,1,0.53112,414.84
1,2,1,1,2,1,1,1,8,50,1,4,3,13,24,1,7,1,1,0,0,0,0,1,0,1,2,1,0,2,2,**,0,1,1,1,0.66742,365.97
2,2,,,,,,,,,,4,2,12,23,1,8,1,1,0,0,0,0,1,0,3,,1,0,2,2,**,0,0,0,0,0.62972,354.37
1,2,,,,,,,,,,5,3,15,24,1,6,1,1,0,0,0,0,0,0,3,,1,0,2,2,**,0,0,3,0,0.69507,388.65
2,1,1,4,2,2,2,4,1,45,2,1,1,7,25,0,3,5,4,0,0,0,0,1,0,1,1,0,1,3,3,**,0,1,1,1,0.33302,384.77
1,2,,,,,,,,,,5,3,17,22,1,10,1,1,0,0,0,0,0,0,3,,1,1,5,3,**,0,0,4,0,0.70529,359.85
2,4,1,1,2,2,1,2,20,60,2,2,2,9,24,1,5,5,3,1,0,0,1,0,0,3,1,0,1,2,4,**,0,1,1,1,0.57887,401.21
1,2,1,1,2,1,2,3,4,10,1,3,2,12,22,1,7,1,1,0,0,0,0,1,0,1,3,1,0,2,2,**,0,1,1,1,0.66570,376.38
2,2,1,1,2,2,1,2,4,45,1,5,2,10,22,1,6,1,1,0,0,0,0,0,0,1,2,1,1,5,3,**,0,1,1,1,0.76100,368.81
1,2,1,1,2,2,1,3,4,35,2,5,2,12,23,1,6,1,1,0,0,0,0,0,0,1,3,1,1,4,3,**,0,1,1,1,0.61311,409.04
2,2,1,4,2,2,1,3,6,50,2,4,1,7,23,1,6,3,3,0,0,0,0,1,0,1,3,1,0,2,2,**,0,0,1,1,0.65732,393.68
1,2,,,,,,,,,,4,3,15,24,0,4,1,1,0,0,0,0,0,0,3,,1,0,2,2,**,0,0,3,0,0.56185,380.43
1,2,,,,,,,,,,2,1,8,23,1,6,1,1,0,0,0,0,1,0,3,,1,0,2,2,**,0,0,3,0,0.62485,396.87
2,2,1,2,2,2,2,4,20,35,1,3,2,9,24,1,6,1,1,0,0,0,0,0,0,3,2,1,1,4,3,**,0,1,1,1,0.70369,410.45
2,1,,,,,,,,,,2,1,7,23,0,6,1,1,0,0,0,0,1,0,3,,0,0,2,2,**,0,0,3,0,0.43950,375.27
2,1,2,1,1,2,1,4,2,35,2,4,1,6,24,1,6,2,1,0,0,0,0,1,0,1,2,0,0,2,2,**,0,0,1,1,0.64111,347.31
2,2,1,1,1,1,1,3,2,50,1,2,1,7,22,1,6,2,1,0,0,0,0,1,1,1,1,1,0,2,2,**,4,1,1,1,0.69237,368.37
2,2,,,,,,,,,,1,2,12,23,1,5,2,1,0,0,0,0,0,1,3,,1,1,3,3,**,2,0,3,0,0.52207,395.81
2,2,,,,,,,,,,2,3,17,24,1,7,1,1,0,0,0,0,0,0,3,,1,0,2,2,**,0,0,2,0,0.62689,370.31
1,2,2,1,4,2,1,3,20,10,1,5,3,14,22,0,9,1,1,0,1,0,1,0,1,3,3,1,0,2,2,**,4,1,1,1,0.57137,349.12
1,1,1,1,2,1,2,4,20,30,2,4,1,5,24,1,4,3,3,0,0,0,0,1,0,2,2,0,1,3,3,**,0,1,1,1,0.70603,370.58
2,1,,,,,,,,,,2,2,10,24,1,6,4,3,0,1,0,1,0,0,3,,0,1,5,4,**,0,0,3,0,0.67395,384.34
1,2,,,,,,,,,,5,2,9,21,1,2,1,1,1,0,0,1,0,1,3,,1,1,5,3,**,1,0,4,0,0.56728,354.87
1,2,,,,,,,,,,5,2,12,21,1,2,1,1,0,1,0,1,0,0,3,,1,1,3,3,**,0,0,3,0,0.62880,369.70
1,2,2,1,2,1,1,3,20,50,2,4,3,17,22,1,6,3,2,0,0,0,0,0,0,3,1,1,0,2,2,**,0,1,1,1,0.63099,388.55
1,1,1,2,2,1,2,1,8,60,1,1,2,10,25,1,6,3,1,0,0,0,0,1,0,1,1,0,1,5,3,**,0,0,1,1,0.51024,375.60
1,1,1,1,2,1,1,4,1,45,2,2,1,8,23,1,5,4,2,0,1,0,1,0,0,1,3,0,0,1,1,**,0,1,1,1,0.50616,385.42
2,2,1,1,1,1,1,2,2,10,1,5,3,15,21,1,5,1,1,0,0,0,0,0,0,1,3,1,0,2,2,**,0,1,1,1,0.71083,390.65
1,4,2,1,4,1,2,2,4,50,2,4,3,13,24,1,7,1,1,0,0,0,0,1,0,1,2,0,0,2,2,**,0,1,1,1,0.59588,327.69
1,2,1,1,2,2,1,3,4,45,1,3,2,9,23,1,6,2,1,0,0,0,0,1,0,1,1,1,1,4,3,**,0,1,1,1,0.66441,372.75
2,4,,,,,,,,,,5,3,14,23,1,6,1,1,1,0,0,1,0,0,3,,0,0,1,1,**,0,0,3,0,0.57394,384.75
1,2,1,1,1,1,2,2,8,60,2,4,2,12,22,1,8,1,1,0,0,0,0,0,0,1,3,1,1,4,3,**,0,1,1,1,0.65379,382.44
1,1,1,2,2,2,1,3,2,30,2,2,1,5,22,0,3,6,6,0,0,0,0,1,1,1,4,0,1,2,4,**,1,1,1,1,0.40962,397.42
2,1,,,,,,,,,,3,1,8,22,1,6,2,1,0,0,0,0,1,0,3,,0,0,1,1,**,0,0,3,0,0.66143,348.76
1,2,2,1,1,2,2,4,4,30,2,2,1,8,22,1,4,4,2,0,0,0,0,1,1,1,2,1,1,3,3,**,4,1,1,1,0.67577,376.76
1,2,,,,,,,,,,5,3,17,21,1,5,1,1,0,0,0,0,0,0,3,,1,0,2,2,**,0,0,2,0,0.64155,385.72
2,2,,,,,,,,,,4,2,11,24,1,6,3,2,0,0,0,0,1,0,3,,1,1,3,3,**,0,0,3,0,0.69531,388.11
2,1,1,5,2,1,2,3,6,45,1,3,1,7,22,1,6,1,1,0,0,0,0,1,0,1,3,0,0,2,2,**,0,1,1,1,0.64698,407.97
2,1,,,,,,,,,,2,1,5,22,0,1,4,3,1,0,0,1,0,0,3,,0,0,2,2,**,0,0,2,0,0.56945,356.88
2,2,,,,,,,,,,2,1,8,24,1,6,1,1,0,0,0,0,1,0,3,,1,1,4,3,**,0,0,3,0,0.72705,391.22
2,4,,,,,,,,,,2,2,10,23,1,5,3,1,1,0,0,1,1,0,3,,0,0,1,1,**,0,0,2,0,0.57693,384.52
1,2,1,1,5,2,1,2,20,45,2,3,1,7,24,0,4,1,1,0,0,1,1,0,0,3,1,1,1,5,3,**,0,1,1,1,0.59354,380.79
2,2,,,,,,,,,,5,2,12,24,1,9,1,1,0,0,0,0,0,0,3,,1,1,4,3,**,0,0,3,0,0.69330,410.40
1,1,1,1,2,1,1,2,1,35,1,3,1,6,23,1,11,2,1,0,0,0,0,1,0,1,1,0,1,4,3,**,0,1,1,1,0.58260,377.22
1,1,,,,,,,,,,4,2,10,24,1,7,6,4,0,1,0,1,0,1,3,,0,0,1,1,**,4,0,3,0,0.59443,370.62
2,2,1,2,2,1,2,3,2,35,1,3,2,12,22,0,5,1,1,0,0,0,0,1,0,1,2,1,1,4,3,**,0,1,1,1,0.60490,350.02
2,1,1,2,2,1,1,2,20,30,1,1,1,5,25,1,7,4,2,0,0,0,0,1,0,2,1,0,1,4,3,**,0,0,1,1,0.59129,386.69
2,1,,,,,,,,,,2,1,7,23,0,2,5,4,0,0,0,0,1,0,3,,0,0,1,1,**,0,0,3,0,0.43850,318.74
2,2,,,,,,,,,,3,3,14,24,0,3,5,2,0,1,0,1,0,1,3,,1,0,2,2,**,4,0,3,0,0.56835,388.17
2,4,,,,,,,,,,1,3,17,25,1,4,1,1,0,0,0,0,0,0,3,,0,0,1,1,**,0,0,3,0,0.38814,389.73
1,2,,,,,,,,,,3,3,13,24,1,5,2,1,0,1,0,1,0,0,3,,1,0,2,2,**,0,0,3,0,0.62654,391.36
2,2,,,,,,,,,,5,2,10,24,1,7,2,1,0,0,0,0,0,0,3,,1,1,4,3,**,0,0,3,0,0.73328,364.69
2,1,,,,,,,,,,1,1,6,25,0,2,2,1,0,0,0,0,1,0,3,,0,0,1,1,**,0,0,0,0,0.33805,375.60
1,2,2,4,2,1,1,1,20,40,2,3,3,17,24,1,7,2,1,0,0,0,0,0,1,3,2,1,0,2,2,**,4,1,1,1,0.62436,356.68
1,2,,,,,,,,,,3,2,12,21,1,5,2,2,1,0,0,1,0,1,3,,1,1,5,3,**,1,0,4,0,0.50583,354.54
1,1,,,,,,,,,,1,1,7,25,0,5,4,3,0,0,0,0,1,1,3,,0,1,2,4,**,4,0,3,0,0.31223,344.57
2,1,1,2,1,1,1,3,4,45,1,2,1,7,24,1,3,3,2,0,0,0,0,1,0,1,1,0,0,2,2,**,0,1,1,1,0.61992,364.69
1,2,2,1,3,2,2,2,4,45,2,5,2,10,22,1,4,1,1,0,0,0,0,1,0,1,5,1,1,4,3,**,0,0,1,1,0.74986,369.83
1,2,2,1,5,1,1,4,20,10,1,4,2,12,21,1,9,1,1,0,1,0,1,0,0,3,1,1,0,2,2,**,0,1,1,1,0.61630,382.88
2,1,2,1,1,2,2,3,20,45,2,2,1,7,23,0,2,7,6,1,0,0,1,0,1,3,1,0,1,2,4,**,2,1,1,1,0.34579,394.56
2,2,,,,,,,,,,4,1,8,23,1,6,2,1,0,0,0,0,1,0,3,,1,1,3,3,**,0,0,3,0,0.66360,400.68
1,1,1,1,2,1,1,3,20,30,1,2,1,5,23,1,6,1,1,0,0,0,0,1,0,2,1,0,1,5,3,**,0,1,1,1,0.69094,370.85
1,3,2,1,2,1,2,2,20,50,1,2,3,14,24,0,7,1,1,0,1,0,1,0,0,3,2,0,0,1,1,**,0,0,1,1,0.44125,356.79
2,2,1,1,2,1,2,2,6,50,1,3,2,12,21,1,7,3,1,0,0,0,0,1,0,1,3,1,0,2,2,**,0,1,1,1,0.67833,395.17
1,1,,,,,,,,,,1,1,6,25,1,7,1,1,0,0,0,0,1,0,3,,0,1,4,3,**,0,0,3,0,0.45602,399.05
2,2,1,1,2,1,1,3,20,50,1,2,2,9,24,1,6,2,1,0,0,0,0,0,0,3,1,1,1,5,3,**,0,1,1,1,0.70996,350.76
1,2,1,1,3,1,1,3,6,35,1,5,2,12,24,1,6,1,1,0,1,0,1,1,1,1,2,1,0,2,2,**,4,0,1,1,0.68250,393.67
2,2,,,,,,,,,,2,1,8,23,1,6,2,1,0,0,0,0,0,0,3,,1,1,3,3,**,0,0,0,0,0.59913,377.93
1,1,,,,,,,,,,2,2,12,23,1,3,2,1,0,0,0,0,1,0,3,,0,0,1,1,**,0,0,3,0,0.50240,373.04
2,2,1,1,2,1,1,4,20,10,2,4,3,14,21,1,6,2,1,0,0,0,0,0,0,3,3,1,1,3,3,**,0,0,1,1,0.66776,386.84
2,1,2,1,2,1,2,2,4,45,1,5,1,7,21,1,8,1,1,0,0,0,0,1,0,1,3,0,0,2,2,**,0,0,1,1,0.65864,408.33
1,1,,,,,,,,,,4,1,7,23,0,9,2,2,1,0,0,1,1,1,3,,0,1,5,3,**,1,0,2,0,0.33438,351.92
1,2,,,,,,,,,,2,1,7,23,1,3,4,3,0,0,0,0,1,1,3,,1,0,2,2,**,4,0,3,0,0.60775,408.08
1,2,2,4,3,1,1,2,20,35,2,2,3,16,23,0,4,1,1,0,0,0,0,0,0,3,5,1,0,2,2,**,0,1,1,1,0.46616,403.67
2,2,2,1,2,2,1,2,20,10,2,3,3,13,23,1,6,4,3,0,0,0,0,0,1,3,2,1,1,3,3,**,4,1,1,1,0.58119,420.94
